# address                                        good  lastSuccess    %(2h)   %(8h)   %(1d)   %(7d)  %(30d)  blocks      svcs  version
88.85.181.105:34230                                 1   1570967212  100.00%  96.93%  68.68%  15.28%   3.80%  871174  0000040d  70015 "/Yumekawa:0.16.3.21/"
104.248.88.32:34230                                 1   1570967212  100.00%  96.93%  68.68%  15.28%   3.80%  871174  0000040d  70015 "/Yumekawa:0.16.3.21/"
52.193.0.81:34230                                   1   1570966960  100.00%  96.92%  68.66%  15.27%   3.79%  871126  0000040d  70015 "/Yumekawa:0.16.3.21/"
3.113.4.90:34230                                    1   1570966960  100.00%  96.92%  68.66%  15.27%   3.79%  871126  0000040d  70015 "/Yumekawa:0.16.3.21/"
23.92.208.93:34230                                  1   1570967231  100.00%  96.91%  68.62%  15.26%   3.79%  871172  0000040d  70015 "/Yumekawa:0.16.3.21/"
159.226.73.22:34230                                 1   1570967010  100.00%  96.91%  68.61%  15.25%   3.79%  871137  0000040d  70015 "/Yumekawa:0.16.3.21/"
37.17.46.222:34230                                  1   1570967005  100.00%  96.91%  68.61%  15.25%   3.79%  871132  0000040d  70015 "/Yumekawa:0.16.3.21/"
51.75.69.34:34230                                   1   1570967005  100.00%  96.91%  68.61%  15.25%   3.79%  871133  0000040d  70015 "/Yumekawa:0.16.3.21/"
203.104.37.185:34230                                1   1570967005  100.00%  96.91%  68.61%  15.25%   3.79%  871133  0000040d  70015 "/Yumekawa:0.16.3.21/"
129.211.87.30:34230                                 1   1570967005  100.00%  96.91%  68.61%  15.25%   3.79%  871134  0000040d  70015 "/Yumekawa:0.16.3.21/"
118.25.3.242:34230                                  1   1570967005   99.60%  95.24%  67.27%  14.94%   3.71%  871134  0000040d  70015 "/Yumekawa:0.16.3.21/"
79.230.227.83:34230                                 1   1570966455   96.15%  72.37%  50.67%  11.62%   2.90%  871037  0000040d  70015 "/Yumekawa:0.16.3.21/"
101.132.159.119:34230                               0   1570945657    4.81%  39.34%  40.37%  10.11%   2.54%    3277  0000040d  70015 "/Yumekawa:0.16.3.21/"
59.16.145.202:34230                                 0   1570906070    0.01%   2.98%   4.49%   1.22%   0.31%  859843  0000040d  70015 "/Yumekawa:0.16.3.21/"
109.194.51.160:34230                                0   1570966975   29.64%   9.76%   3.48%   0.51%   0.12%  871126  0000040d  70015 "/Yumekawa:0.16.3.21/"
106.14.144.97:34230                                 0   1570896931    0.00%   0.31%   0.54%   0.16%   0.04%  857655  0000040d  70015 "/Yumekawa:0.16.3.21/"
