$ ./src/bench/bench_sugarchain
# Benchmark, evals, iterations, total, min, max, median
Base58CheckEncode, 5, 320000, 7.01511, 4.27968e-06, 4.45145e-06, 4.39845e-06
Base58Decode, 5, 800000, 6.80819, 1.66424e-06, 1.7733e-06, 1.695e-06
Base58Encode, 5, 470000, 6.74771, 2.83972e-06, 2.91762e-06, 2.85637e-06
BenchLockedPool, 5, 530, 7.40071, 0.00272555, 0.00290306, 0.00277738
CCheckQueueSpeedPrevectorJob, 5, 1400, 5.4453, 0.000768368, 0.000784453, 0.000779136
CCoinsCaching, 5, 170000, 7.20497, 8.31221e-06, 8.99122e-06, 8.34566e-06
CoinSelection, 5, 650, 6.80986, 0.00205481, 0.00218188, 0.00208026
DeserializeAndCheckBlockTest, 5, 160, 7.26872, 0.00884004, 0.00973745, 0.00894097
DeserializeBlockTest, 5, 130, 5.74855, 0.00843878, 0.00931375, 0.00870497
FastRandom_1bit, 5, 440000000, 4.94491, 2.21549e-09, 2.29135e-09, 2.23857e-09
FastRandom_32bit, 5, 110000000, 6.87101, 1.21984e-08, 1.27001e-08, 1.25708e-08
MempoolEviction, 5, 41000, 7.29873, 3.41937e-05, 3.71237e-05, 3.56088e-05
PrevectorClear, 5, 5600, 6.37283, 0.000222687, 0.000235756, 0.000227041
PrevectorDestructor, 5, 5700, 6.3565, 0.000217395, 0.000229893, 0.000222024
RIPEMD160, 5, 440, 7.05805, 0.00313723, 0.00322886, 0.00322729
RollingBloom, 5, 1500000, 11.2871, 1.39035e-06, 1.62059e-06, 1.52888e-06
SHA1, 5, 570, 6.89874, 0.0023417, 0.00260257, 0.00237102
SHA256, 5, 340, 6.99758, 0.00403415, 0.00419794, 0.00410151
SHA256_32b, 5, 4700000, 7.04309, 2.91253e-07, 3.16979e-07, 2.96796e-07
SHA512, 5, 330, 6.51137, 0.00386152, 0.00416443, 0.00389865
SipHash_32b, 5, 40000000, 6.92931, 3.40281e-08, 3.62959e-08, 3.42764e-08
Sleep100ms, 5, 10, 5.00361, 0.100065, 0.100084, 0.100066
Trig, 5, 12000000, 3.03252, 4.73651e-08, 5.50747e-08, 5.03078e-08
VerifyScriptBench, 5, 6300, 6.29593, 0.000196807, 0.000202652, 0.000200116
